timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop,mid,stop_sequence
2023-05-17 06:33:35+00,35623021-CPPB3-CP_B3-Weekday-02-SDon,Q25,,2023-05-17,MTABC_528,,,40.712143,-73.806473,282.67,,551061,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:24+00,35676059-SCPB3-SC_B3-Weekday-02-SDon,B103,,2023-05-16,MTABC_579,,,40.648396,-73.893280,33.21,,350243,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:43+00,35623849-CPPB3-CP_B3-Weekday-02-SDon,Q65,,2023-05-17,MTABC_567,,,40.784012,-73.851776,2.29,,551788,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:41+00,35623867-CPPB3-CP_B3-Weekday-02-SDon,Q65,,2023-05-17,MTABC_552,,,40.716366,-73.803116,104.04,,551717,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:39+00,35601014-JKPB3-JK_B3-Weekday-02-SDon,Q10,,2023-05-17,MTABC_6244,,,40.697441,-73.829659,296.43,,550334,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:31+00,35600749-JKPB3-JK_B3-Weekday-02-SDon,Q10,,2023-05-17,MTABC_6243,,,40.701828,-73.831703,113.35,,550339,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:46+00,35601013-JKPB3-JK_B3-Weekday-02-SDon,Q10,,2023-05-17,MTABC_6237,,,40.667049,-73.810349,252.72,,550360,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:24+00,35600750-JKPB3-JK_B3-Weekday-02-SDon,Q10,,2023-05-17,MTABC_6234,,,40.667141,-73.810318,72.30,,550293,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:39+00,35672081-BPPB3-BP_B3-Weekday-02-SDon,Q111,,2023-05-17,MTABC_5408,,,40.703094,-73.797058,13.91,,552358,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:32+00,35672638-BPPB3-BP_B3-Weekday-02-SDon,Q114,,2023-05-17,MTABC_5429,,,40.707527,-73.803337,18.00,,552365,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:31+00,35672621-BPPB3-BP_B3-Weekday-02-SDon,Q114,,2023-05-17,MTABC_5416,,,40.662758,-73.768341,278.93,,552369,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:36+00,35672614-BPPB3-BP_B3-Weekday-02-SDon,Q114,,2023-05-17,MTABC_5413,,,40.676720,-73.778091,127.03,,552328,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:38+00,35672090-BPPB3-BP_B3-Weekday-02-SDon,Q111,,2023-05-17,MTABC_5414,,,40.657299,-73.737206,357.89,,552294,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:44+00,35602897-JKPB3-JK_B3-Weekday-02-SDon,Q06,,2023-05-17,MTABC_4164,,,40.660912,-73.774864,130.45,,550005,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:40+00,35672099-BPPB3-BP_B3-Weekday-02-SDon,Q111,,2023-05-17,MTABC_5383,,,40.693764,-73.789177,125.97,,552347,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:21+00,35672631-BPPB3-BP_B3-Weekday-02-SDon,Q114,,2023-05-17,MTABC_5384,,,40.596611,-73.744186,109.77,,552431,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:17+00,35718211-LGPB3-LG_B3-Weekday-21,Q33,,2023-05-17,MTABC_4054,,,40.748055,-73.883049,100.22,,551116,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:25+00,35600748-JKPB3-JK_B3-Weekday-02-SDon,Q10,,2023-05-17,MTABC_5376,,,40.713501,-73.830231,134.60,,550349,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:33+00,35671217-BPPB3-BP_B3-Weekday-02-SDon,Q64,,2023-05-17,MTABC_4385,,,40.731022,-73.820206,196.71,,551827,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:36+00,35718193-LGPB3-LG_B3-Weekday-21,Q33,,2023-05-17,MTABC_4269,,,40.758865,-73.885963,280.33,,551136,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:20+00,35718501-LGPB3-LG_B3-Weekday-21,Q39,,2023-05-17,MTABC_4402,,,40.740612,-73.930420,173.47,,551436,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:30+00,35720047-LGPB3-LG_B3-Weekday-21,Q100,,2023-05-17,MTABC_4499,,,40.777130,-73.902580,144.81,,550867,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:42+00,35671624-BPPB3-BP_B3-Weekday-02-SDon,Q110,,2023-05-17,MTABC_4601,,,40.706734,-73.802406,15.07,,552208,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:28+00,35601678-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_4651,,,40.721462,-73.844414,336.44,,551657,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:46+00,35601778-JKPB3-JK_B3-Weekday-02-SDon,Q60,,2023-05-17,MTABC_4644,,,40.745277,-73.933510,136.90,,503338,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:20+00,35603009-JKPB3-JK_B3-Weekday-02-SDon,Q06,,2023-05-17,MTABC_3664,,,40.686939,-73.794357,306.28,,550049,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:48+00,35587848-FRPB3-FR_B3-Weekday-02-SDon,Q35,,2023-05-17,MTABC_3692,,,40.581364,-73.838562,18.37,,551172,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:39+00,35587679-FRPB3-FR_B3-Weekday-02-SDon,Q11,,2023-05-17,MTABC_3687,,,40.673367,-73.843407,264.03,,550500,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:44+00,35624348-CPPB3-CP_B3-Weekday-02-SDon,Q66,,2023-05-17,MTABC_207,,,40.760265,-73.830475,295.47,,505227,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
2023-05-17 06:33:27+00,35624338-CPPB3-CP_B3-Weekday-02-SDon,Q66,,2023-05-17,MTABC_233,,,40.761200,-73.830925,116.38,,500994,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,,1844865,
